Ticker,Strategy,Risk_Config,Params,Beats_BH,OOS_BH_pct,Score,OOS_total_return_pct,OOS_annual_return_pct,OOS_sharpe_ratio,OOS_max_drawdown_pct,OOS_total_trades,OOS_win_rate_pct,OOS_avg_win_pct,OOS_avg_loss_pct,OOS_profit_factor,OOS_final_equity,OOS_buy_hold_return_pct
MSFT,Crash Avoider,No stops,"trend_sma=30, confirm_days=2, rsi_exit=30, rsi_reentry=55",False,3.285242110186437,-0.743,-28.83,-20.15,-1.213,-38.78,3,0.0,0.0,-12.82,0.0,7117.07,3.29
MSFT,Crash Avoider,Trail 10%,"trend_sma=30, confirm_days=2, rsi_exit=30, rsi_reentry=55",False,3.285242110186437,-0.424,-9.47,-6.37,-0.378,-22.33,3,0.0,0.0,-5.53,0.0,9053.12,3.29
MSFT,Crash Avoider,Trail 15%,"trend_sma=50, confirm_days=3, rsi_exit=45, rsi_reentry=50",True,3.285242110186437,1.375,16.6,10.7,0.72,-20.76,3,33.3,27.4,-7.29,1.51,11659.83,3.29
MSFT,Crash Avoider,Trail 20%,"trend_sma=30, confirm_days=2, rsi_exit=30, rsi_reentry=55",False,3.285242110186437,-0.743,-28.83,-20.15,-1.213,-38.78,3,0.0,0.0,-12.82,0.0,7117.07,3.29
MSFT,Dip Buyer,No stops,"fast_ema=21, slow_ema=30, dip_pct=7, trend_lookback=5",False,3.285242110186437,-0.499,-4.68,-3.12,-0.421,-9.37,3,0.0,0.0,-2.74,0.0,9532.37,3.29
MSFT,Dip Buyer,Trail 10%,"fast_ema=21, slow_ema=30, dip_pct=7, trend_lookback=5",False,3.285242110186437,-0.515,-4.98,-3.32,-0.454,-9.67,3,0.0,0.0,-2.85,0.0,9502.12,3.29
MSFT,Dip Buyer,Trail 15%,"fast_ema=21, slow_ema=30, dip_pct=7, trend_lookback=5",False,3.285242110186437,-0.499,-4.68,-3.12,-0.421,-9.37,3,0.0,0.0,-2.74,0.0,9532.37,3.29
MSFT,Dip Buyer,Trail 20%,"fast_ema=21, slow_ema=30, dip_pct=7, trend_lookback=5",False,3.285242110186437,-0.499,-4.68,-3.12,-0.421,-9.37,3,0.0,0.0,-2.74,0.0,9532.37,3.29
MSFT,Trend Rider,No stops,"ema_period=20, atr_period=10, atr_mult=2.5, reentry_mult=0",False,3.285242110186437,-0.475,-15.61,-10.62,-0.393,-32.85,4,25.0,17.67,-13.41,0.38,8438.99,3.29
MSFT,Trend Rider,Trail 10%,"ema_period=60, atr_period=10, atr_mult=2.5, reentry_mult=0",True,3.285242110186437,1.958,15.18,9.8,0.665,-12.91,4,25.0,27.65,-3.94,2.19,11518.26,3.29
