Strategy,Pair,Config,Params,Profitable,OOS_total_return_pct,OOS_annual_return_pct,OOS_sharpe_ratio,OOS_max_drawdown_pct,OOS_total_trades,OOS_win_rate_pct,OOS_avg_win_pct,OOS_avg_loss_pct,OOS_avg_hold_days,OOS_profit_factor,OOS_long_win_rate,OOS_short_win_rate,OOS_final_equity,OOS_buy_hold_pct
RSI Reversal,EURGBP=X,10d SL1.5% 3% 10x,"rsi_period=5, oversold=25, overbought=75",True,220.49,115.82,1.776,-56.85,27,55.6,8.4577,-5.5695,9.2,1.88,58.3,53.3,32049.26,4.22
RSI Reversal,NZDUSD=X,7d SL0.7% 1.5% 10x,"rsi_period=10, oversold=30, overbought=70",True,194.14,103.92,1.515,-53.0,16,75.0,12.6753,-6.9756,4.2,4.55,80.0,66.7,29413.56,2.11
Triple EMA,GBPJPY=X,7d SL0.7% 1.5% 10x,"fast=3, medium=10, slow=30",True,150.27,83.29,1.979,-59.9,31,45.2,10.4025,-6.166,3.9,1.23,55.0,27.3,25026.54,10.27
Inside Bar Breakout,USDJPY=X,5d SL1% TP2% 10x,,True,142.43,79.48,1.282,-60.03,10,50.0,15.4314,-8.9787,3.0,1.48,33.3,75.0,24243.1,3.28
Consecutive Candles,USDCHF=X,10d SL1.5% 3% 10x,n_candles=4,True,126.05,71.38,1.4,-59.27,20,70.0,12.7176,-12.1604,7.8,2.23,57.1,76.9,22605.2,-11.84
Consecutive Candles,EURJPY=X,10d SL1.5% TP3%,n_candles=3,True,106.61,61.49,1.669,-50.39,45,62.2,0.8231,-0.8959,6.9,1.44,65.2,59.1,20660.52,14.92
Inside Bar Breakout,EURUSD=X,10d SL1.5% TP3%,,True,105.15,60.74,1.29,-49.45,13,69.2,1.1893,-1.218,8.1,2.09,85.7,50.0,20515.26,11.29
Consecutive Candles,USDJPY=X,10d SL1.5% TP3%,n_candles=3,True,100.79,58.48,1.739,-52.6,43,48.8,1.4437,-1.1631,6.6,1.14,56.5,40.0,20079.32,3.28
SMA Crossover,EURGBP=X,5d SL1% TP2%,"fast=15, slow=30",True,96.01,55.97,1.354,-49.75,15,46.7,0.5196,-0.3272,4.9,1.28,57.1,37.5,19600.89,4.22
MACD Crossover,USDCAD=X,10d SL1% TP2% 10x,"fast=8, slow=17, signal_period=9",True,95.75,55.83,1.499,-60.99,38,50.0,10.3521,-5.7076,6.9,1.65,57.9,42.1,19574.5,-1.17
Triple EMA,EURUSD=X,10d SL1% TP2% 10x,"fast=5, medium=13, slow=50",True,94.57,55.22,1.675,-66.53,23,43.5,11.9337,-7.9994,5.7,1.02,53.3,25.0,19457.3,11.29
Triple EMA,EURGBP=X,10d SL1% TP2%,"fast=8, medium=21, slow=55",True,90.26,52.94,1.497,-50.21,18,50.0,0.4565,-0.6646,9.1,0.64,54.5,42.9,19026.31,4.22
Keltner Breakout,EURGBP=X,10d SL1% TP2%,"ema_period=20, atr_period=14, atr_mult=1.0",True,86.18,50.76,1.689,-50.58,26,38.5,0.5782,-0.5938,8.4,0.57,40.0,36.4,18618.36,4.22
Keltner Breakout,USDCAD=X,7d SL0.7% TP1.5%,"ema_period=20, atr_period=14, atr_mult=1.5",True,84.8,50.02,1.69,-52.09,27,33.3,0.731,-0.6333,4.5,0.55,28.6,38.5,18479.69,-1.17
