Strategy,Pair,Config,Params,OOS_total_return_pct,OOS_annual_return_pct,OOS_sharpe_ratio,OOS_max_drawdown_pct,OOS_total_trades,OOS_win_rate_pct,OOS_avg_win_pct,OOS_avg_loss_pct,OOS_avg_hold_days,OOS_profit_factor,OOS_long_win_rate,OOS_short_win_rate,OOS_max_consec_losses,OOS_final_equity
RSI Reversal,NZDUSD=X,5d R2% SL0.5% TP1% 10x,"rsi_period=10, oversold=30, overbought=70",1155.29,431.75,2.505,-86.18,17,70.6,36.02,-20.03,3.1,2.78,72.7,66.7,2,125529.14
Consecutive Candles,GBPJPY=X,5d R1% SL0.5% TP1% 5x,n_candles=3,577.12,253.71,3.644,-75.47,73,47.9,8.2,-4.89,2.3,1.53,53.8,44.7,5,67711.87
Bollinger Reversal,USDJPY=X,5d R2% SL0.5% TP1% 10x,"period=20, num_std=2.5",455.06,210.19,2.04,-87.24,11,72.7,35.14,-20.04,2.4,2.13,60.0,83.3,2,55505.69
Z-Score Reversion,USDJPY=X,5d R2% SL0.5% TP1% 10x,"lookback=20, z_entry=2.5",455.06,210.19,2.04,-87.24,11,72.7,35.14,-20.04,2.4,2.13,60.0,83.3,2,55505.69
Consecutive Candles,EURJPY=X,10d R1% SL1.5% TP3% 10x,n_candles=4,340.33,166.2,1.405,-45.92,18,77.8,9.46,-6.85,8.3,4.94,81.8,71.4,1,44032.67
SMA Crossover,USDCAD=X,5d R2% SL0.5% TP1% 10x,"fast=15, slow=50",334.31,163.79,1.905,-92.65,11,45.5,25.12,-18.3,2.7,0.86,60.0,33.3,3,43431.32
Bollinger Reversal,GBPJPY=X,5d R1% SL0.5% TP1% 10x,"period=30, num_std=2.0",304.12,151.53,2.163,-74.15,20,65.0,17.23,-8.71,2.9,3.01,87.5,50.0,2,40412.43
Z-Score Reversion,GBPJPY=X,5d R1% SL0.5% TP1% 10x,"lookback=30, z_entry=2.0",304.12,151.53,2.163,-74.15,20,65.0,17.23,-8.71,2.9,3.01,87.5,50.0,2,40412.43
Inside Bar Breakout,EURUSD=X,5d R1% SL0.5% TP1% 10x,,301.45,150.43,2.023,-76.4,14,50.0,16.03,-10.01,2.4,1.37,50.0,50.0,3,40144.52
RSI Reversal,USDJPY=X,5d R1% SL0.5% TP1% 10x,"rsi_period=14, oversold=30, overbought=70",228.42,119.33,1.432,-64.62,7,100.0,18.61,0.0,2.4,inf,100.0,100.0,0,32842.47
Inside Bar Breakout,EURJPY=X,5d R1% SL0.5% TP1% 5x,,204.81,108.78,2.061,-74.52,15,33.3,9.97,-4.53,2.7,1.02,50.0,0.0,4,30480.63
Consecutive Candles,USDCHF=X,10d R2% SL1.5% TP3% 10x,n_candles=4,188.74,101.44,1.654,-69.15,20,70.0,17.01,-16.24,7.8,2.13,57.1,76.9,2,28873.56
Bollinger Reversal,USDCAD=X,5d R2% SL0.5% TP1% 10x,"period=20, num_std=2.5",175.33,95.22,1.689,-89.8,8,62.5,40.21,-20.07,2.1,1.93,40.0,100.0,3,27532.79
Z-Score Reversion,USDCAD=X,5d R2% SL0.5% TP1% 10x,"lookback=20, z_entry=2.5",175.33,95.22,1.689,-89.8,8,62.5,40.21,-20.07,2.1,1.93,40.0,100.0,3,27532.79
Consecutive Candles,USDCAD=X,5d R1% SL0.5% TP1% 10x,n_candles=4,171.01,93.19,2.665,-79.9,36,38.9,13.61,-8.0,3.5,0.96,54.5,32.0,4,27101.07
Inside Bar Breakout,USDJPY=X,5d R1% SL1% TP2% 20x,,170.69,93.04,1.349,-71.22,10,50.0,30.85,-17.98,3.0,1.29,33.3,75.0,3,27069.12
Z-Score Reversion,EURUSD=X,5d R1% SL0.5% TP1% 10x,"lookback=10, z_entry=1.5",170.39,92.9,3.363,-81.79,73,45.2,16.92,-9.74,2.6,1.18,55.9,35.9,5,27039.19
MACD Crossover,USDJPY=X,5d R2% SL0.5% TP1% 10x,"fast=12, slow=30, signal_period=9",160.04,87.99,3.679,-93.47,40,45.0,37.28,-19.09,1.8,1.11,55.0,35.0,5,26003.96
Keltner Breakout,USDCAD=X,5d R1% SL0.5% TP1% 5x,"ema_period=15, atr_period=10, atr_mult=1.0",131.56,74.12,2.867,-81.42,49,40.8,5.34,-4.28,3.4,0.79,37.5,44.0,6,23156.12
Triple EMA,EURUSD=X,10d R2% SL1% TP2% 10x,"fast=5, medium=13, slow=50",130.68,73.69,2.377,-87.34,23,43.5,23.84,-16.03,5.7,0.91,53.3,25.0,3,23068.16
Inside Bar Breakout,NZDUSD=X,5d R1% SL0.5% TP1% 5x,,127.96,72.33,2.332,-69.94,21,61.9,10.03,-5.02,1.4,2.62,60.0,63.6,2,22796.35
Bollinger Reversal,EURJPY=X,5d R2% SL0.5% TP1% 10x,"period=20, num_std=2.5",120.38,68.53,1.575,-84.35,6,83.3,23.42,-19.97,4.0,3.27,100.0,80.0,1,22038.32
Z-Score Reversion,EURJPY=X,5d R2% SL0.5% TP1% 10x,"lookback=20, z_entry=2.5",120.38,68.53,1.575,-84.35,6,83.3,23.42,-19.97,4.0,3.27,100.0,80.0,1,22038.32
RSI Reversal,EURGBP=X,5d R2% SL0.5% TP1% 10x,"rsi_period=5, oversold=20, overbought=80",112.62,64.58,2.951,-90.54,22,63.6,18.3,-16.65,3.8,1.89,62.5,64.3,4,21261.67
Bollinger Reversal,GBPUSD=X,10d R2% SL1.5% TP3% 10x,"period=20, num_std=2.5",106.8,61.59,1.015,-59.05,5,80.0,21.88,-2.59,7.0,22.54,100.0,66.7,1,20679.75
Z-Score Reversion,GBPUSD=X,10d R2% SL1.5% TP3% 10x,"lookback=20, z_entry=2.5",106.8,61.59,1.015,-59.05,5,80.0,21.88,-2.59,7.0,22.54,100.0,66.7,1,20679.75
RSI Reversal,USDCAD=X,5d R2% SL0.5% TP1% 10x,"rsi_period=14, oversold=30, overbought=70",87.49,51.46,2.215,-84.75,13,46.2,31.94,-13.03,3.5,1.67,40.0,50.0,2,18749.16
Bollinger Reversal,AUDUSD=X,7d R2% SL0.7% TP1.5% 10x,"period=30, num_std=2.0",86.99,51.19,1.973,-88.48,23,47.8,35.55,-19.96,2.7,1.14,60.0,38.5,4,18698.77
Z-Score Reversion,AUDUSD=X,7d R2% SL0.7% TP1.5% 10x,"lookback=30, z_entry=2.0",86.99,51.19,1.973,-88.48,23,47.8,35.55,-19.96,2.7,1.14,60.0,38.5,4,18698.77
Consecutive Candles,EURGBP=X,10d R2% SL1% TP2% 10x,n_candles=4,80.49,47.7,2.113,-80.98,22,36.4,10.41,-8.38,8.1,0.61,36.4,36.4,6,18049.23
Consecutive Candles,EURUSD=X,7d R2% SL0.7% TP1.5% 10x,n_candles=5,79.57,47.2,1.85,-84.5,12,58.3,28.6,-20.02,4.2,1.53,50.0,75.0,2,17957.1
Triple EMA,USDCAD=X,10d R1% SL1% TP2% 10x,"fast=8, medium=21, slow=55",67.01,40.32,1.434,-63.5,14,42.9,7.0,-6.94,7.8,0.67,33.3,50.0,3,16701.36
RSI Reversal,EURUSD=X,5d R1% SL1% TP2% 20x,"rsi_period=14, oversold=25, overbought=75",58.39,35.5,0.72,-49.24,2,100.0,26.13,0.0,5.0,inf,0.0,100.0,0,15839.38
Triple EMA,GBPJPY=X,5d R2% SL0.5% TP1% 10x,"fast=3, medium=10, slow=30",57.68,35.09,3.606,-89.78,33,45.5,35.37,-20.03,2.2,1.14,50.0,36.4,3,15767.84
Bollinger Reversal,EURUSD=X,10d R2% SL1.5% TP3% 10x,"period=25, num_std=2.5",56.73,34.56,1.34,-76.35,9,33.3,17.78,-13.54,8.1,0.49,66.7,16.7,3,15673.32
SMA Crossover,USDCHF=X,5d R1% SL1% TP2% 20x,"fast=20, slow=50",55.9,34.09,0.963,-58.14,9,66.7,10.63,-4.4,5.0,4.94,50.0,80.0,1,15590.46
MACD Crossover,EURGBP=X,5d R1% SL0.5% TP1% 5x,"fast=5, slow=15, signal_period=5",52.55,32.17,3.197,-84.56,63,36.5,4.52,-4.07,3.2,0.58,35.5,37.5,6,15255.32
Consecutive Candles,NZDUSD=X,5d R1% SL0.5% TP1% 5x,n_candles=4,46.94,28.94,2.607,-78.33,47,42.6,9.37,-5.02,2.2,1.25,43.5,41.7,5,14694.32
Keltner Breakout,NZDUSD=X,5d R1% SL0.5% TP1% 5x,"ema_period=20, atr_period=14, atr_mult=1.0",43.26,26.8,3.23,-89.2,89,31.5,8.99,-4.98,1.8,0.75,37.2,26.1,13,14326.27
Triple EMA,EURGBP=X,10d R0.5% SL1% TP2% 10x,"fast=8, medium=21, slow=55",33.64,21.11,0.986,-42.86,18,50.0,2.27,-3.33,9.1,0.64,54.5,42.9,3,13364.18
