Strategy,Pair,Config,OOS_total_return_pct,OOS_annual_return_pct,OOS_sharpe_ratio,OOS_max_drawdown_pct,OOS_total_trades,OOS_win_rate_pct,OOS_avg_win_pct,OOS_avg_loss_pct,OOS_avg_hold_days,OOS_profit_factor,OOS_long_win_rate,OOS_short_win_rate,OOS_max_consec_losses,OOS_final_equity
FVG Fill,EURJPY=X,10d R0.5% SL1% TP2% 10x,44.71,27.65,0.961,-40.6,14,42.9,4.54,-3.59,7.2,0.9,50.0,25.0,3,14471.42
Liquidity Sweep,EURUSD=X,10d R0.5% SL1% TP2% 10x,35.64,22.3,1.115,-53.59,23,39.1,6.07,-4.44,5.2,0.82,62.5,26.7,5,13563.97
FVG Fill,EURUSD=X,10d R2% SL1.5% TP3% 10x,25.54,16.21,1.561,-72.66,14,64.3,12.47,-13.95,8.8,1.22,63.6,66.7,2,12554.19
FVG Fill,USDCHF=X,5d R1% SL0.5% TP1% 5x,10.52,6.83,1.847,-73.52,14,42.9,9.0,-5.02,2.2,1.22,25.0,50.0,3,11051.91
FVG Fill,AUDUSD=X,10d R0.5% SL1% TP2% 10x,-1.12,-0.74,0.937,-57.27,17,23.5,5.72,-4.98,4.8,0.31,33.3,12.5,5,9887.62
Liquidity Sweep,GBPJPY=X,10d R0.5% SL1% TP2% 10x,-8.85,-5.93,0.817,-55.58,30,40.0,6.68,-4.65,5.2,0.89,42.9,39.1,7,9115.46
Liquidity Sweep,USDCAD=X,10d R0.5% SL1% TP2% 10x,-9.14,-6.14,1.01,-60.1,22,31.8,1.72,-4.02,6.6,0.18,23.1,44.4,6,9085.75
FVG Fill,GBPJPY=X,10d R1% SL1% TP2% 5x,-10.43,-7.02,1.126,-58.39,13,38.5,5.34,-4.46,6.8,0.71,50.0,20.0,3,8956.99
Liquidity Sweep,NZDUSD=X,10d R0.5% SL1% TP2% 10x,-13.57,-9.18,1.067,-67.84,32,28.1,7.16,-4.95,3.8,0.57,31.2,25.0,7,8643.11
Liquidity Sweep,USDJPY=X,10d R0.5% SL1% TP2% 10x,-19.66,-13.46,0.781,-58.94,30,30.0,8.96,-4.58,4.3,0.76,18.8,42.9,5,8033.7
FVG Fill,EURGBP=X,5d R1% SL0.5% TP1% 5x,-25.91,-17.97,1.515,-75.44,9,11.1,3.7,-4.07,2.9,0.1,0.0,25.0,6,7408.68
Liquidity Sweep,AUDUSD=X,10d R0.5% SL1% TP2% 10x,-27.89,-19.42,0.972,-60.03,33,36.4,6.49,-4.97,4.5,0.71,44.4,33.3,5,7211.12
Liquidity Sweep,GBPUSD=X,10d R0.5% SL1% TP2% 10x,-31.63,-22.21,0.958,-58.26,33,30.3,6.62,-4.3,5.4,0.6,25.0,35.3,6,6836.51
FVG Fill,USDCAD=X,7d R1% SL0.7% TP1.4% 5x,-34.15,-24.11,1.78,-74.33,19,21.1,7.04,-4.46,4.6,0.42,25.0,18.2,5,6585.08
FVG Fill,USDJPY=X,10d R2% SL1% TP2% 5x,-37.77,-26.89,2.132,-79.98,25,32.0,16.07,-9.18,4.2,0.71,30.8,33.3,6,6223.46
FVG Fill,NZDUSD=X,10d R0.5% SL1% TP2% 10x,-38.27,-27.28,0.633,-60.56,14,7.1,9.99,-4.33,4.9,0.2,11.1,0.0,11,6173.49
Liquidity Sweep,USDCHF=X,10d R0.5% SL1% TP2% 10x,-41.13,-29.53,0.628,-66.73,22,22.7,6.31,-4.77,4.2,0.3,11.8,60.0,14,5886.55
FVG Fill,GBPUSD=X,5d R1% SL0.5% TP1% 5x,-44.19,-31.97,2.27,-83.21,23,21.7,7.34,-5.02,2.5,0.42,27.8,0.0,9,5581.02
Liquidity Sweep,EURJPY=X,10d R0.5% SL1% TP2% 10x,-50.67,-37.3,0.751,-68.52,28,21.4,4.8,-4.36,5.4,0.3,40.0,17.4,6,4932.52
Liquidity Sweep,EURGBP=X,10d R0.5% SL1% TP2% 10x,-52.55,-38.89,0.673,-69.41,28,21.4,1.86,-3.79,7.4,0.1,30.0,16.7,9,4744.61
