Strategy,Ticker,Swing_Config,Params,Beats_BH,OOS_BH,OOS_total_return_pct,OOS_annual_return_pct,OOS_sharpe_ratio,OOS_max_drawdown_pct,OOS_total_trades,OOS_win_rate_pct,OOS_avg_win_pct,OOS_avg_loss_pct,OOS_avg_hold_days,OOS_profit_factor,OOS_time_in_market_pct,OOS_final_equity,OOS_buy_hold_pct
Gap Down Reversal,AVGO,10d SL5% noTP,"gap_pct=1.5, trend_sma=100",False,163.3461560236014,59.78,36.35,1.612,-11.35,6,83.3,10.53,-5.05,8.5,7.82,13.5,15977.67,163.35
Weekly Momentum Burst,AAPL,10d SL5% TP10%,"lookback=5, min_return=2, vol_mult=1.3",False,36.8193630073536,27.55,17.47,1.239,-13.52,11,72.7,4.59,-3.58,9.2,3.69,26.8,12755.08,36.82
Weekly Momentum Burst,META,7d SL4% TP8%,"lookback=3, min_return=2, vol_mult=1.3",True,14.167004954597395,27.21,17.27,1.147,-11.18,12,58.3,6.53,-3.74,4.8,2.37,15.1,12721.4,14.17
Weekly Momentum Burst,AVGO,10d SL5% noTP,"lookback=3, min_return=2, vol_mult=1.3",False,163.3461560236014,26.87,17.05,0.801,-15.1,11,63.6,6.77,-5.05,8.4,2.14,24.4,12686.83,163.35
Weekly Momentum Burst,GOOGL,10d SL5% TP10%,"lookback=5, min_return=3, vol_mult=1.5",False,138.1541912850348,26.71,16.96,1.078,-11.73,9,66.7,5.02,-1.68,9.1,6.11,21.8,12671.39,138.15
ATR Breakout,GOOGL,10d SL5% noTP,"atr_period=10, atr_mult=1.0, lookback=15",False,138.1541912850348,22.28,14.23,1.644,-3.3,3,100.0,7.03,0.0,10.0,inf,8.0,12227.78,138.15
Consecutive Down Days,NVDA,10d SL5% noTP,"n_days=3, trend_sma=100",False,50.99327379239473,19.44,12.47,0.776,-12.78,9,44.4,9.41,-3.48,8.9,1.99,21.2,11943.6,50.99
Consecutive Down Days,GOOGL,10d SL3% TP8%,"n_days=4, trend_sma=200",False,138.1541912850348,16.96,10.92,1.167,-4.58,8,62.5,5.2,-3.05,7.1,2.78,15.1,11696.39,138.15
Consecutive Down Days,WMT,10d SL3% TP8%,"n_days=3, trend_sma=200",False,33.54823760359986,15.24,9.84,1.088,-7.76,8,75.0,3.78,-3.05,7.8,3.52,16.4,11523.59,33.55
Dip and Rip,GOOGL,10d SL5% TP10%,"dip_pct=4, rsi_period=5, rsi_threshold=30, trend_sma=50",False,138.1541912850348,13.74,8.89,1.202,-5.94,4,75.0,6.22,-5.05,8.8,3.29,9.3,11373.62,138.15
Dip and Rip,AVGO,10d SL5% noTP,"dip_pct=5, rsi_period=7, rsi_threshold=35, trend_sma=50",False,163.3461560236014,13.68,8.86,0.853,-6.04,2,100.0,6.68,0.0,10.0,inf,5.3,11368.39,163.35
Bollinger Snap,TSLA,10d SL5% noTP,"bb_period=25, bb_std=2.0, trend_sma=100",False,25.397098129387395,10.87,7.06,1.025,-4.22,1,100.0,11.25,0.0,10.0,inf,2.7,11086.54,25.4
Gap Down Reversal,META,10d SL5% noTP,"gap_pct=1.5, trend_sma=100",False,14.167004954597395,10.41,6.77,1.409,-1.99,2,100.0,5.24,0.0,10.0,inf,5.3,11041.43,14.17
RSI Extreme Bounce,WMT,10d SL5% TP10%,"rsi_period=5, rsi_threshold=20, trend_sma=100",False,33.54823760359986,9.68,6.3,1.66,-2.21,3,100.0,3.16,0.0,10.0,inf,8.0,10968.02,33.55
Consecutive Down Days,COST,10d SL3% TP8%,"n_days=4, trend_sma=200",True,4.066694408667759,9.39,6.12,1.127,-2.84,3,100.0,3.57,0.0,10.0,inf,8.0,10939.4,4.07
Dip and Rip,LLY,10d SL5% noTP,"dip_pct=5, rsi_period=7, rsi_threshold=30, trend_sma=100",False,52.27827752708516,8.53,5.57,1.387,-1.89,1,100.0,8.69,0.0,10.0,inf,2.7,10853.22,52.28
RSI Extreme Bounce,GOOGL,3d SL2% TP4%,"rsi_period=3, rsi_threshold=15, trend_sma=50",False,138.1541912850348,8.15,5.32,0.888,-3.26,6,66.7,3.07,-2.05,2.5,2.91,4.0,10815.35,138.15
Weekly Momentum Burst,LLY,10d SL3% TP8%,"lookback=3, min_return=2, vol_mult=1.3",False,52.27827752708516,8.07,5.27,0.402,-15.0,15,40.0,6.09,-3.05,4.3,1.3,17.0,10807.39,52.28
Z-Score Mean Reversion,WMT,10d SL5% noTP,"lookback=30, z_threshold=-2.0, trend_sma=100",False,33.54823760359986,8.04,5.25,1.532,-2.03,2,100.0,3.97,0.0,10.0,inf,5.3,10803.84,33.55
ATR Breakout,COST,10d SL5% TP10%,"atr_period=10, atr_mult=1.0, lookback=15",True,4.066694408667759,6.61,4.33,1.712,-0.63,1,100.0,7.24,0.0,10.0,inf,2.7,10661.44,4.07
ATR Breakout,AVGO,10d SL5% TP10%,"atr_period=14, atr_mult=1.0, lookback=20",False,163.3461560236014,6.56,4.29,0.441,-6.69,2,100.0,3.29,0.0,10.0,inf,5.3,10656.0,163.35
ATR Breakout,NVDA,10d SL5% noTP,"atr_period=10, atr_mult=1.0, lookback=15",False,50.99327379239473,6.2,4.06,0.633,-3.15,2,100.0,3.1,0.0,10.0,inf,5.3,10620.03,50.99
Consecutive Down Days,AVGO,10d SL5% noTP,"n_days=4, trend_sma=100",False,163.3461560236014,5.42,3.55,0.481,-8.68,3,66.7,5.39,-5.05,9.0,2.05,7.2,10542.03,163.35
Bollinger Snap,WMT,10d SL5% noTP,"bb_period=25, bb_std=2.0, trend_sma=100",False,33.54823760359986,5.12,3.36,1.427,-1.26,1,100.0,5.13,0.0,10.0,inf,2.7,10512.49,33.55
Gap Down Reversal,AMZN,7d SL4% TP8%,"gap_pct=1.5, trend_sma=50",False,39.001626819799526,5.08,3.33,0.504,-5.17,4,75.0,1.78,-0.25,7.0,21.32,7.4,10508.11,39.0
Gap Down Reversal,LLY,7d SL4% TP8%,"gap_pct=1.5, trend_sma=50",False,52.27827752708516,4.85,3.19,0.545,-6.7,3,66.7,4.82,-4.05,5.3,2.25,4.2,10485.42,52.28
Consecutive Down Days,MSFT,5d SL3% noTP,"n_days=4, trend_sma=50",True,3.610388550583199,4.72,3.1,0.677,-3.84,3,66.7,2.25,-3.05,4.3,1.48,3.4,10471.8,3.61
ATR Breakout,JPM,7d SL4% TP8%,"atr_period=14, atr_mult=1.0, lookback=20",False,23.08832509980494,4.52,2.97,1.253,-0.69,1,100.0,4.56,0.0,7.0,inf,1.9,10451.98,23.09
RSI Extreme Bounce,AVGO,10d SL5% noTP,"rsi_period=3, rsi_threshold=15, trend_sma=50",False,163.3461560236014,4.41,2.9,0.553,-4.85,2,100.0,2.2,0.0,10.0,inf,5.3,10440.76,163.35
Bollinger Snap,NVDA,10d SL5% noTP,"bb_period=20, bb_std=2.0, trend_sma=100",False,50.99327379239473,4.4,2.89,0.628,-4.06,1,100.0,4.46,0.0,10.0,inf,2.7,10439.92,50.99
Z-Score Mean Reversion,NVDA,10d SL5% noTP,"lookback=20, z_threshold=-2.0, trend_sma=100",False,50.99327379239473,4.4,2.89,0.628,-4.06,1,100.0,4.46,0.0,10.0,inf,2.7,10439.92,50.99
