Strategy,Risk_Config,Params,Pass,OOS_total_return_pct,OOS_annual_return_pct,OOS_sharpe_ratio,OOS_max_drawdown_pct,OOS_total_trades,OOS_win_rate_pct,OOS_avg_win_pct,OOS_avg_loss_pct,OOS_profit_factor,OOS_final_equity,OOS_buy_hold_return_pct
SMA Crossover,No stops,"fast_period=5, slow_period=30",False,11.23,7.3,0.383,-26.01,9,22.2,18.19,-4.31,1.07,11123.0,29.65
SMA Crossover,Trail 8%,"fast_period=10, slow_period=100",False,-8.41,-5.65,-0.67,-13.02,2,0.0,0.0,-4.42,0.0,9159.04,29.65
SMA Crossover,Trail 12%,"fast_period=15, slow_period=30",True,36.15,22.65,0.91,-16.36,7,71.4,10.93,-8.92,2.77,13614.93,29.65
SMA Crossover,Trail 15%,"fast_period=5, slow_period=75",False,13.22,8.56,0.445,-18.11,4,50.0,10.5,-5.8,1.62,11321.51,29.65
SMA Crossover,Trail 20%,"fast_period=5, slow_period=30",False,3.48,2.29,0.24,-30.73,9,22.2,14.56,-4.31,0.81,10348.0,29.65
SMA Crossover,Stop 5% TP 10%,"fast_period=5, slow_period=75",False,-8.42,-5.65,-0.346,-15.7,5,20.0,9.95,-4.48,0.51,9158.3,29.65
SMA Crossover,Stop 5% TP 15%,"fast_period=5, slow_period=200",False,8.85,5.77,0.713,-5.62,2,50.0,14.94,-5.05,2.59,10884.56,29.65
SMA Crossover,Stop 7% TP 15%,"fast_period=5, slow_period=200",False,6.64,4.34,0.536,-7.53,2,50.0,14.94,-7.05,1.85,10663.85,29.65
SMA Crossover,Stop 7% TP 20%,"fast_period=5, slow_period=100",False,-13.37,-9.06,-0.925,-17.19,2,0.0,0.0,-7.05,0.0,8663.01,29.65
SMA Crossover,Stop 10% TP 25%,"fast_period=10, slow_period=30",False,60.28,36.64,1.334,-17.83,7,42.9,17.29,-3.55,3.58,16028.22,29.65
SMA Crossover,Trail 10% TP 20%,"fast_period=15, slow_period=30",True,56.26,34.36,1.528,-14.43,7,71.4,13.04,-6.84,4.64,15625.78,29.65
SMA Crossover,Trail 12% TP 25%,"fast_period=15, slow_period=30",True,44.23,27.42,1.184,-16.28,7,71.4,12.29,-8.92,3.14,14423.07,29.65
RSI Mean Reversion,No stops,"rsi_period=7, oversold=25, overbought=65, trend_sma=100",False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,10000.0,29.65
RSI Mean Reversion,Trail 8%,"rsi_period=10, oversold=35, overbought=70, trend_sma=100",False,16.7,10.76,1.294,-3.29,1,100.0,17.3,0.0,inf,11670.47,29.65
RSI Mean Reversion,Trail 12%,"rsi_period=7, oversold=25, overbought=65, trend_sma=100",False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,10000.0,29.65
RSI Mean Reversion,Trail 15%,"rsi_period=7, oversold=25, overbought=65, trend_sma=100",False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,10000.0,29.65
RSI Mean Reversion,Trail 20%,"rsi_period=7, oversold=25, overbought=65, trend_sma=100",False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,10000.0,29.65
RSI Mean Reversion,Stop 5% TP 10%,"rsi_period=10, oversold=35, overbought=65, trend_sma=100",False,9.6,6.26,0.978,-2.71,1,100.0,9.95,0.0,inf,10960.38,29.65
RSI Mean Reversion,Stop 5% TP 15%,"rsi_period=10, oversold=35, overbought=70, trend_sma=100",False,14.43,9.33,1.149,-3.29,1,100.0,14.94,0.0,inf,11442.98,29.65
RSI Mean Reversion,Stop 7% TP 15%,"rsi_period=7, oversold=25, overbought=75, trend_sma=100",False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,10000.0,29.65
RSI Mean Reversion,Stop 7% TP 20%,"rsi_period=7, oversold=25, overbought=65, trend_sma=100",False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,10000.0,29.65
RSI Mean Reversion,Stop 10% TP 25%,"rsi_period=7, oversold=25, overbought=65, trend_sma=100",False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,10000.0,29.65
RSI Mean Reversion,Trail 10% TP 20%,"rsi_period=7, oversold=25, overbought=65, trend_sma=100",False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,10000.0,29.65
RSI Mean Reversion,Trail 12% TP 25%,"rsi_period=7, oversold=25, overbought=65, trend_sma=100",False,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,10000.0,29.65
Bollinger Band Reversion,No stops,"bb_period=20, bb_std=2.0, rsi_period=14, rsi_threshold=30",False,-13.99,-9.49,-0.299,-38.05,1,0.0,0.0,-14.13,0.0,8600.6,29.65
Bollinger Band Reversion,Trail 8%,"bb_period=20, bb_std=2.0, rsi_period=14, rsi_threshold=30",False,-7.33,-4.91,-0.608,-15.09,3,33.3,2.33,-4.9,0.24,9267.14,29.65
Bollinger Band Reversion,Trail 12%,"bb_period=30, bb_std=1.5, rsi_period=14, rsi_threshold=30",False,-9.44,-6.35,-0.222,-33.8,4,25.0,14.22,-7.42,0.54,9055.63,29.65
Bollinger Band Reversion,Trail 15%,"bb_period=15, bb_std=2.5, rsi_period=10, rsi_threshold=30",False,15.94,10.28,0.786,-7.75,2,50.0,19.07,-2.48,6.56,11594.4,29.65
Bollinger Band Reversion,Trail 20%,"bb_period=20, bb_std=2.0, rsi_period=14, rsi_threshold=30",False,-22.26,-15.35,-1.165,-28.77,2,0.0,0.0,-12.06,0.0,7773.71,29.65
Bollinger Band Reversion,Stop 5% TP 10%,"bb_period=20, bb_std=2.0, rsi_period=14, rsi_threshold=30",False,8.74,5.7,0.537,-11.06,4,50.0,9.95,-5.05,1.81,10874.46,29.65
Bollinger Band Reversion,Stop 5% TP 15%,"bb_period=25, bb_std=1.5, rsi_period=14, rsi_threshold=30",False,-1.42,-0.94,0.025,-22.54,4,25.0,14.94,-5.05,0.9,9858.1,29.65
Bollinger Band Reversion,Stop 7% TP 15%,"bb_period=20, bb_std=2.0, rsi_period=14, rsi_threshold=30",False,-0.54,-0.36,0.058,-21.74,3,33.3,14.94,-7.05,0.96,9945.83,29.65
Bollinger Band Reversion,Stop 7% TP 20%,"bb_period=20, bb_std=1.5, rsi_period=14, rsi_threshold=30",False,-24.95,-17.3,-1.095,-31.23,4,0.0,0.0,-7.05,0.0,7504.8,29.65
Bollinger Band Reversion,Stop 10% TP 25%,"bb_period=30, bb_std=2.5, rsi_period=14, rsi_threshold=30",False,-9.95,-6.7,-0.664,-17.49,1,0.0,0.0,-10.05,0.0,9005.23,29.65
Bollinger Band Reversion,Trail 10% TP 20%,"bb_period=25, bb_std=1.5, rsi_period=14, rsi_threshold=30",False,-12.8,-8.67,-0.549,-21.63,4,50.0,0.3,-7.08,0.04,8719.62,29.65
Bollinger Band Reversion,Trail 12% TP 25%,"bb_period=30, bb_std=1.5, rsi_period=14, rsi_threshold=30",False,-9.44,-6.35,-0.222,-33.8,4,25.0,14.22,-7.42,0.54,9055.63,29.65
MACD + RSI,No stops,"macd_fast=8, macd_slow=21, macd_signal=7, rsi_period=14, rsi_upper=70, rsi_lower=25",False,-4.21,-2.8,0.088,-25.46,23,26.1,13.27,-4.26,0.94,9579.16,29.65
MACD + RSI,Trail 8%,"macd_fast=8, macd_slow=21, macd_signal=9, rsi_period=14, rsi_upper=70, rsi_lower=25",False,-31.54,-22.18,-0.854,-40.31,23,17.4,12.32,-4.32,0.49,6845.74,29.65
MACD + RSI,Trail 12%,"macd_fast=16, macd_slow=30, macd_signal=9, rsi_period=10, rsi_upper=70, rsi_lower=25",False,-2.65,-1.76,0.052,-24.28,11,27.3,9.97,-3.66,0.91,9734.82,29.65
MACD + RSI,Trail 15%,"macd_fast=8, macd_slow=21, macd_signal=7, rsi_period=14, rsi_upper=70, rsi_lower=25",False,-3.46,-2.31,0.091,-24.73,23,30.4,11.53,-4.52,0.95,9653.59,29.65
MACD + RSI,Trail 20%,"macd_fast=8, macd_slow=21, macd_signal=7, rsi_period=14, rsi_upper=70, rsi_lower=25",False,-8.55,-5.74,-0.003,-29.04,23,26.1,13.27,-4.53,0.88,9145.48,29.65
MACD + RSI,Stop 5% TP 10%,"macd_fast=8, macd_slow=21, macd_signal=9, rsi_period=10, rsi_upper=65, rsi_lower=25",False,-13.52,-9.16,-0.327,-28.6,22,27.3,8.3,-3.81,0.74,8648.27,29.65
MACD + RSI,Stop 5% TP 15%,"macd_fast=8, macd_slow=26, macd_signal=9, rsi_period=14, rsi_upper=70, rsi_lower=25",False,10.82,7.03,0.394,-20.62,22,27.3,12.47,-3.63,1.18,11081.9,29.65
